Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
1,Gennaro Acampora\Gennaro-Acampora,it ITA,MFFW,Spezia,26,1994,4.9,11,7,1,7,3,5,7,71.4,2,88,22,25,8,57,23,6,1,0,5,4,15,3,0
2,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,32,1988,31.3,55,38,36,16,3,11,37,29.7,26,350,146,41.7,201,119,30,51,19,0,32,62,117,155,1
3,Andrea Adorante\Andrea-Adorante,it ITA,FW,Parma,20,2000,0.1,0,0,0,0,0,0,0,,0,3,1,33.3,0,1,2,0,0,0,0,0,0,0,0
4,Lucien Agoume\Lucien-Agoume,fr FRA,MF,Spezia,18,2002,8.9,14,11,9,5,0,2,13,15.4,11,151,43,28.5,51,86,14,18,4,0,14,20,34,14,1
5,Kevin Agudelo\Kevin-Agudelo,co COL,FW,Spezia,21,1998,15.1,50,30,12,25,13,10,35,28.6,25,356,100,28.1,64,150,142,30,0,0,30,5,55,7,0
6,Jean-Daniel Akpa-Akpro\Jean-Daniel-Akpa-Akpro,ci CIV,MF,Lazio,27,1992,11.7,46,28,15,26,5,9,27,33.3,18,354,110,31.1,107,178,69,33,6,0,27,18,64,14,0
7,Luis Alberto\Luis-Alberto,es ESP,MF,Lazio,27,1992,29.1,43,32,17,18,8,14,66,21.2,52,537,155,28.9,131,275,131,38,2,0,36,21,64,12,0
8,Bruno Alves\Bruno-Alves,pt POR,DF,Parma,38,1981,18.1,16,6,10,6,0,8,13,61.5,5,140,37,26.4,92,43,5,28,14,0,14,15,31,87,0
9,Wisdom Amey\Wisdom-Amey,it ITA,DF,Bologna,14,2005,0,0,0,0,0,0,0,0,,0,1,1,100,0,0,1,0,0,0,0,0,0,0,0
10,Sofyan Amrabat\Sofyan-Amrabat,ma MAR,MF,Fiorentina,23,1996,27.1,60,42,22,31,7,23,63,36.5,40,567,154,27.2,161,316,90,46,5,0,41,21,81,20,0
